Month Year, Consumption
Jan 2015, 516
Feb 2015, 1113
Mar 2015, 1460
Apr 2015, 1543
May 2015, 1774
Jun 2015, 1292
Jul 2015, 1491
Aug 2015, 1430
Sep 2015, 1093
Oct 2015, 1501
Nov 2015, 1301
Dec 2015, 1109
